rhocut	 real-el	 0-1	 1-0	 1-1	 2-0	 2-1	 2-2	 3-0	 3-1	 3-2	 3-3	 other
276.846 512 	0	0	0	0	0	0	0	0	0	0	0
283.111 512 	0	0	0	0	0	0	0	0	0	0	0
289.376 512 	0	0	0	0	0	0	0	0	0	0	0
295.641 512 	0	0	0	0	0	0	0	0	0	0	0
301.907 512 	0	0	0	0	0	0	0	0	0	0	0
308.172 512 	0	0	0	0	0	0	0	0	0	0	0
314.437 512 	0	0	0	0	0	0	0	0	0	0	0
320.703 512 	0	0	0	0	0	0	0	0	0	0	0
326.968 512 	0	0	0	0	0	0	0	0	0	0	0
333.233 512 	0	0	0	0	0	0	0	0	0	0	0
339.498 512 	0	0	0	0	0	0	0	0	0	0	0
345.764 512 	0	0	0	0	0	0	0	0	0	0	0
352.029 512 	0	0	0	0	0	0	0	0	0	0	0
358.294 512 	0	0	0	0	0	0	0	0	0	0	0
364.559 512 	0	0	0	0	0	0	0	0	0	0	0
370.825 512 	0	0	0	0	0	0	0	0	0	0	0
377.09 512 	0	0	0	0	0	0	0	0	0	0	0
383.355 512 	0	0	0	0	0	0	0	0	0	0	0
389.62 512 	0	0	0	0	0	0	0	0	0	0	0
395.886 512 	0	0	0	0	0	0	0	0	0	0	0
402.151 512 	0	0	0	0	0	0	0	0	0	0	0
408.416 512 	0	0	0	0	0	0	0	0	0	0	0
414.681 512 	0	0	0	0	0	0	0	0	0	0	0
420.947 512 	0	0	0	0	0	0	0	0	0	0	0
427.212 512 	0	0	0	0	0	0	0	0	0	0	0
433.477 512 	0	0	0	0	0	0	0	0	0	0	0
439.742 512 	0	0	0	0	0	0	0	0	0	0	0
446.008 512 	0	0	0	0	0	0	0	0	0	0	0
452.273 512 	0	0	0	0	0	0	0	0	0	0	0
458.538 512 	0	0	0	0	0	0	0	0	0	0	0
464.803 512 	0	0	0	0	0	0	0	0	0	0	0
471.069 512 	0	0	0	0	0	0	0	0	0	0	0
477.334 512 	0	0	0	0	0	0	0	0	0	0	0
483.599 512 	0	0	0	0	0	0	0	0	0	0	0
489.864 512 	0	0	0	0	0	0	0	0	0	0	0
496.13 512 	0	0	0	0	0	0	0	0	0	0	0
502.395 512 	0	0	0	0	0	0	0	0	0	0	0
508.66 512 	0	0	0	0	0	0	0	0	0	0	0
514.925 512 	0	0	0	0	0	0	0	0	0	0	0
521.191 512 	0	0	0	0	0	0	0	0	0	0	0
527.456 512 	0	0	0	0	0	0	0	0	0	0	0
533.721 512 	0	0	0	0	0	0	0	0	0	0	0
539.986 512 	0	0	0	0	0	0	0	0	0	0	0
546.252 512 	0	0	0	0	0	0	0	0	0	0	0
552.517 513 	0	0	3	0	0	1	0	0	0	0	0
558.782 515 	0	0	8	0	0	2	0	0	0	0	0
565.047 517 	0	0	11	0	0	4	0	0	0	1	1
571.313 518 	0	0	17	0	0	6	0	0	2	1	1
577.578 520 	0	0	20	0	0	8	0	0	3	3	2
583.843 523 	0	0	29	0	1	12	0	0	3	8	10
590.108 533 	0	0	39	0	0	21	0	0	0	13	18
596.374 537 	0	0	60	0	0	23	0	0	0	15	19
602.639 539 	0	1	74	0	0	29	0	0	0	21	27
608.904 541 	0	0	106	0	1	33	0	0	0	22	25
